"Density","Momentum:0","Momentum:1","Momentum:2","Energy","Pressure","Temperature","Mach","Points:0","Points:1","Points:2"
362.64,3466.7,-24.841,0,1.4288e+08,2.9334e+06,538.03,0.084863,-13.88,2.0585,0
362.65,3456,-26.624,0,1.4288e+08,2.9335e+06,538.03,0.084597,-13.88,2.3526,0
362.65,3443.9,-26.155,0,1.4288e+08,2.9335e+06,538.03,0.084297,-13.88,2.6467,0
362.66,3434.8,-24.878,0,1.4288e+08,2.9336e+06,538.03,0.084068,-13.88,2.9408,0
362.66,3428.1,-22.522,0,1.4289e+08,2.9337e+06,538.03,0.083901,-13.88,3.2348,0
362.67,3421.7,-19.062,0,1.4289e+08,2.9337e+06,538.03,0.083737,-13.88,3.5289,0
362.67,3415.8,-15.893,0,1.4289e+08,2.9338e+06,538.03,0.083588,-13.88,3.823,0
362.67,3410.1,-12.013,0,1.4289e+08,2.9338e+06,538.03,0.083445,-13.88,4.1171,0
362.68,3406.2,-8.0172,0,1.4289e+08,2.9339e+06,538.03,0.083348,-13.88,4.4111,0
362.68,3404.4,-4.5361,0,1.4289e+08,2.9339e+06,538.03,0.083303,-13.88,4.7052,0
22.25,5204.4,-7.5162,0,8.4721e+06,4.7255e+05,476.88,1.6923,11.782,0.29322,0
22.313,5213.7,-15.089,0,8.4964e+06,4.7376e+05,476.92,1.691,11.782,0.58643,0
22.415,5228.6,-21.33,0,8.5353e+06,4.757e+05,476.99,1.6891,11.782,0.87965,0
22.566,5251,-24.957,0,8.5932e+06,4.7859e+05,477.1,1.6863,11.782,1.1729,0
22.789,5284.2,-31.088,0,8.6784e+06,4.8283e+05,477.25,1.6824,11.782,1.4661,0
23.056,5327,-27.573,0,8.7815e+06,4.879e+05,477.43,1.6787,11.782,1.7593,0
23.376,5379.5,-19.141,0,8.9053e+06,4.9395e+05,477.64,1.6749,11.782,2.0525,0
23.826,5449.8,-5.8017,0,9.0787e+06,5.0243e+05,477.93,1.6687,11.782,2.3457,0
24.294,5522.4,14.222,0,9.2588e+06,5.1119e+05,478.22,1.6626,11.782,2.639,0
24.79,5603.9,28.41,0,9.4514e+06,5.2044e+05,478.53,1.6578,11.782,2.9322,0
362.67,3398.6,-0.2972,0,1.4289e+08,2.9338e+06,538.03,0.083168,-13.595,4.9993,0
362.67,3394.8,-0.54392,0,1.4289e+08,2.9338e+06,538.03,0.083072,-13.309,4.9993,0
