"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Pressure","Temperature","Mach","Pressure_Coefficient"
5904, 6.199942439837468e-01, 8.960847231668552e-01, 2.095000002172000e+02, 1.033382631692121e+04, 3.962441880886084e-06, 1.207072070694567e+08, 8.202730001830300e+05, 6.514396178727987e+02, 1.699999991105371e+00, 7.181481768389995e-10
5905, 8.960850049143356e-01, 6.199937578270287e-01, 2.075377435030883e+02, 1.026890620283951e+04, -4.534852117032250e+01, 1.195705613440535e+08, 8.186918831342328e+05, 6.512445835358598e+02, 1.780926496649725e+00, -6.203769864764501e-03
5906, 6.099933552138430e-01, 8.960866124482390e-01, 2.095000002275257e+02, 1.033382631716230e+04, 4.597305429226092e-06, 1.207072070754180e+08, 8.202730001912350e+05, 6.514396178737436e+02, 1.699999990677601e+00, 7.503416435786922e-10
5907, 8.960870968007782e-01, 6.099925248813363e-01, 2.070893067409946e+02, 1.025356336156483e+04, -5.556140430604491e+01, 1.193107836946445e+08, 8.183495047106640e+05, 6.511999270310230e+02, 1.799900860432649e+00, -7.547147443278318e-03
5908, 5.999927803101152e-01, 8.960885428385055e-01, 2.095000002293031e+02, 1.033382631714776e+04, 4.944550426631929e-06, 1.207072070764317e+08, 8.202730001923377e+05, 6.514396178738554e+02, 1.699999990597181e+00, 7.546682116399630e-10
5909, 8.960893236277411e-01, 5.999914624571465e-01, 2.065943313902214e+02, 1.023643702801457e+04, -6.675212088826488e+01, 1.190240384733821e+08, 8.179794048148622e+05, 6.511505925369869e+02, 1.821047516732779e+00, -8.999294738800352e-03
5910, 5.899926180233388e-01, 8.960904396605074e-01, 2.095000002220075e+02, 1.033382631686702e+04, 4.997511524257340e-06, 1.207072070721943e+08, 8.202730001858994e+05, 6.514396178730819e+02, 1.699999990886289e+00, 7.294067547078977e-10
5911, 8.960916326342303e-01, 5.899906666767236e-01, 2.060560720198423e+02, 1.021759386000571e+04, -7.882205521909016e+01, 1.187122072252097e+08, 8.175859753559525e+05, 6.510968809848930e+02, 1.844280479573838e+00, -1.054297937966347e-02
5912, 5.799929047738253e-01, 8.960922396295312e-01, 2.095000002056103e+02, 1.033382631633604e+04, 4.762357430595956e-06, 1.207072070626832e+08, 8.202730001716800e+05, 6.514396178713846e+02, 1.699999991550549e+00, 6.736144902150908e-10
5913, 8.960939835889571e-01, 5.799902053664914e-01, 2.054791725178001e+02, 1.019716068506316e+04, -9.164822578439544e+01, 1.183779696867495e+08, 8.171742213997454e+05, 6.510391931930783e+02, 1.869451509875482e+00, -1.215856317395535e-02
