,Density,Energy,Mach,Momentum:0,Momentum:1,Momentum:2,Pressure,Pressure_Coefficient,Temperature,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,G,Z,s
443,147.4,44185000.0,1.3617,7878.0,-1371.2,0,752900.0,-0.29824,648.17,1,0.443,0.443,0.3,0,-0.08247630571853093,0.4358810164317045,507.6149043123545
444,145.63,43648000.0,1.3523,7825.3,-1411.5,0,750170.0,-0.31033,648.03,1,0.444,0.444,0.3,0,-0.06911873531845214,0.43938792971789886,507.6149043123545
445,143.9,43123000.0,1.343,7773.5,-1450.7,0,747520.0,-0.32205,647.89,1,0.445,0.445,0.3,0,-0.05669618794344955,0.4426651864197314,507.6149043123545
446,142.61,42732000.0,1.3374,7734.7,-1480.2,0,745210.0,-0.33228,647.79,1,0.446,0.446,0.3,0,-0.04404404164294906,0.445771661986212,507.6149043123545
447,141.32,42341000.0,1.3317,7695.9,-1509.7,0,742900.0,-0.34252,647.68,1,0.447,0.447,0.3,0,-0.03251543872498641,0.44868800066011205,507.6149043123545
448,140.02,41950000.0,1.326,7657.1,-1539.3,0,740580.0,-0.35276,647.57,1,0.448,0.448,0.3,0,-0.021110839121222025,0.4515753150334465,507.6149043123545
449,138.69,41546000.0,1.3201,7617.1,-1569.8,0,738230.0,-0.36318,647.47,1,0.449,0.449,0.3,0,-0.00887771662370107,0.45459655753456896,507.6149043123545
450,137.29,41124000.0,1.3137,7575.3,-1601.7,0,735810.0,-0.37389,647.35,1,0.45,0.45,0.3,0,0.0021176921061074605,0.4574481718846224,507.6149043123545
451,135.9,40701000.0,1.3073,7533.5,-1633.6,0,733390.0,-0.3846,647.24,1,0.451,0.451,0.3,0,0.0136397097536467,0.46037863523209943,507.6149043123545
452,134.98,40424000.0,1.3038,7505.7,-1654.5,0,731600.0,-0.39251,647.16,1,0.452,0.452,0.3,0,0.022091265387520154,0.46253421187462984,507.6149043123545
453,134.11,40160000.0,1.3005,7479.2,-1674.4,0,729870.0,-0.40017,647.09,1,0.453,0.453,0.3,0,0.030629285206623558,0.464679294605549,507.6149043123545
